0:0:0:0:0:0:0:1 - - [10/Jul/2024:17:09:06 -0400] "GET / HTTP/1.1" 200 11428
127.0.0.1 - - [10/Jul/2024:17:09:11 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jul/2024:17:09:11 -0400] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [10/Jul/2024:17:09:11 -0400] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [10/Jul/2024:17:09:13 -0400] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [10/Jul/2024:17:09:21 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [10/Jul/2024:17:09:21 -0400] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - admin [10/Jul/2024:17:09:22 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:09:26 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:09:26 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [10/Jul/2024:17:09:26 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [10/Jul/2024:17:09:26 -0400] "GET /manager/text/list HTTP/1.1" 200 234
127.0.0.1 - admin [10/Jul/2024:17:09:26 -0400] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [10/Jul/2024:17:09:26 -0400] "GET /manager/text/list HTTP/1.1" 200 234
127.0.0.1 - admin [10/Jul/2024:17:09:26 -0400] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2Fuser%2FAppData%2FLocal%2FTemp%2Fcontext15865852557923879059.xml&path=/alexandre_pizzaria HTTP/1.1" 200 76
127.0.0.1 - admin [10/Jul/2024:17:09:26 -0400] "GET /manager/text/start?path=/alexandre_pizzaria HTTP/1.1" 200 75
